learner_id,learner_profile,completed_topics,quizzes_attempted,average_quiz_score,learning_streak,study_hours,completion_percentage,revision_sessions,coach_interactions,improvement_trend,current_domain,quiz_difficulty,pass_probability,next_quiz_pass
LRN00001,Casual Learner,5,3,54.58,3,9.67,8.33,1,1,Declining,Python,Medium,0.225,0
LRN00002,Fast Learner,42,33,98.0,15,26.59,70.0,16,8,Improving,NLP,Medium,0.83,1
LRN00003,Fast Learner,60,33,98.0,28,20.71,100.0,13,9,Improving,Python,Medium,0.897,1
LRN00004,Consistent Learner,28,24,97.85,24,22.11,46.67,13,4,Improving,MLOps,Medium,0.784,1
LRN00005,Casual Learner,7,5,47.98,3,3.41,11.67,2,0,Stable,NLP,Medium,0.264,0
LRN00006,Consistent Learner,26,18,84.73,12,20.05,43.33,14,5,Improving,Machine Learning,Hard,0.632,1
LRN00007,Casual Learner,15,12,50.79,0,10.59,25.0,1,0,Improving,Generative AI,Hard,0.346,0
LRN00008,Casual Learner,17,10,59.61,10,10.96,28.33,3,1,Stable,Machine Learning,Medium,0.396,0
LRN00009,Casual Learner,16,8,43.13,2,4.97,26.67,4,3,Improving,MLOps,Easy,0.359,0
LRN00010,Casual Learner,17,15,57.46,7,6.43,28.33,4,2,Improving,MLOps,Easy,0.445,1
LRN00011,Casual Learner,25,17,54.53,4,6.06,41.67,3,1,Declining,Machine Learning,Hard,0.237,0
LRN00012,Consistent Learner,23,17,94.82,19,23.06,38.33,15,11,Stable,Generative AI,Hard,0.618,1
LRN00013,Struggling Learner,10,5,30.84,0,4.42,16.67,2,2,Declining,Python,Easy,0.112,0
LRN00014,Fast Learner,59,40,98.0,19,27.06,98.33,10,15,Improving,Generative AI,Medium,0.884,1
LRN00015,Consistent Learner,43,29,90.8,19,20.35,71.67,11,8,Improving,SQL,Easy,0.778,1
LRN00016,Casual Learner,23,12,43.45,1,4.98,38.33,5,5,Improving,Machine Learning,Easy,0.384,0
LRN00017,Casual Learner,11,6,57.31,9,7.85,18.33,4,3,Stable,Python,Easy,0.355,0
LRN00018,Consistent Learner,34,17,94.02,11,22.96,56.67,15,4,Stable,Python,Easy,0.68,1
LRN00019,Consistent Learner,33,22,84.14,24,12.75,55.0,8,4,Improving,Python,Medium,0.695,1
LRN00020,Fast Learner,37,25,98.0,22,33.75,61.67,10,11,Improving,Python,Easy,0.828,1
LRN00021,Consistent Learner,45,34,92.63,19,21.78,75.0,11,11,Improving,SQL,Hard,0.748,1
LRN00022,Consistent Learner,43,30,81.98,11,14.7,71.67,14,10,Improving,Generative AI,Easy,0.706,1
LRN00023,Casual Learner,12,8,54.24,9,6.63,20.0,1,4,Stable,Generative AI,Medium,0.333,0
LRN00024,Consistent Learner,41,22,89.27,17,20.74,68.33,9,9,Improving,Python,Easy,0.755,1
LRN00025,Casual Learner,8,4,44.98,3,3.66,13.33,4,2,Improving,SQL,Medium,0.339,0
LRN00026,Casual Learner,14,10,59.9,10,8.51,23.33,4,0,Declining,Python,Hard,0.251,0
LRN00027,Fast Learner,38,28,98.0,19,30.62,63.33,12,9,Improving,MLOps,Hard,0.778,1
LRN00028,Consistent Learner,21,10,81.29,23,11.38,35.0,9,3,Improving,Machine Learning,Easy,0.638,1
LRN00029,Casual Learner,22,15,48.28,1,3.09,36.67,5,1,Stable,SQL,Medium,0.316,0
LRN00030,Consistent Learner,45,34,91.34,11,24.58,75.0,10,6,Improving,Generative AI,Hard,0.727,1
LRN00031,Casual Learner,9,7,50.55,3,11.33,15.0,1,1,Declining,Machine Learning,Medium,0.226,0
LRN00032,Casual Learner,12,10,43.83,1,5.4,20.0,3,0,Declining,NLP,Medium,0.185,0
LRN00033,Struggling Learner,7,4,30.0,1,1.17,11.67,3,2,Declining,Machine Learning,Medium,0.092,0
LRN00034,Struggling Learner,10,7,43.0,0,7.57,16.67,2,1,Improving,Generative AI,Medium,0.337,0
LRN00035,Consistent Learner,39,22,87.89,13,24.76,65.0,11,12,Improving,Generative AI,Hard,0.7,1
LRN00036,Casual Learner,11,8,51.35,1,6.28,18.33,5,2,Improving,Machine Learning,Medium,0.384,0
LRN00037,Consistent Learner,42,32,73.84,14,14.43,70.0,8,9,Stable,SQL,Medium,0.578,1
LRN00038,Consistent Learner,20,14,77.76,16,14.56,33.33,11,12,Improving,MLOps,Easy,0.615,1
LRN00039,Struggling Learner,5,4,39.33,2,5.61,8.33,2,0,Declining,SQL,Hard,0.093,0
LRN00040,Fast Learner,50,42,98.0,17,28.39,83.33,15,11,Stable,NLP,Medium,0.785,1
LRN00041,Casual Learner,5,2,59.63,1,11.03,8.33,3,1,Stable,Python,Medium,0.332,0
LRN00042,Fast Learner,39,29,98.0,25,31.62,65.0,20,12,Improving,Generative AI,Medium,0.868,1
LRN00043,Struggling Learner,14,10,30.0,1,2.81,23.33,2,3,Improving,Machine Learning,Easy,0.279,0
LRN00044,Struggling Learner,2,1,30.0,1,1.97,3.33,3,1,Declining,Generative AI,Medium,0.078,0
LRN00045,Casual Learner,17,14,66.07,9,11.14,28.33,5,0,Stable,Python,Hard,0.378,0
LRN00046,Consistent Learner,33,20,86.37,17,18.07,55.0,12,6,Improving,MLOps,Medium,0.714,1
LRN00047,Fast Learner,49,35,98.0,15,33.63,81.67,14,14,Improving,SQL,Hard,0.809,1
LRN00048,Consistent Learner,30,18,84.27,20,13.17,50.0,10,9,Improving,Python,Medium,0.681,1
LRN00049,Fast Learner,46,23,98.0,17,21.81,76.67,20,15,Improving,Python,Medium,0.842,1
LRN00050,Consistent Learner,23,18,82.97,16,18.46,38.33,12,7,Improving,MLOps,Medium,0.664,1
LRN00051,Fast Learner,44,33,98.0,15,19.84,73.33,12,14,Improving,MLOps,Easy,0.804,1
LRN00052,Casual Learner,12,9,51.54,4,3.92,20.0,5,4,Stable,Python,Medium,0.308,0
LRN00053,Consistent Learner,36,19,87.08,10,19.71,60.0,11,10,Improving,NLP,Medium,0.712,1
LRN00054,Casual Learner,25,16,54.56,8,5.43,41.67,3,3,Improving,SQL,Hard,0.406,0
LRN00055,Struggling Learner,7,3,43.79,4,6.25,11.67,3,2,Stable,SQL,Medium,0.259,0
LRN00056,Consistent Learner,39,27,88.79,18,20.52,65.0,13,3,Improving,NLP,Medium,0.758,1
LRN00057,Casual Learner,25,15,53.75,7,9.41,41.67,0,0,Improving,MLOps,Medium,0.455,0
LRN00058,Consistent Learner,33,20,94.94,20,24.95,55.0,10,10,Improving,SQL,Medium,0.779,1
LRN00059,Struggling Learner,5,3,39.98,5,2.34,8.33,3,2,Declining,Machine Learning,Hard,0.095,0
LRN00060,Consistent Learner,31,18,78.48,10,12.69,51.67,13,5,Improving,MLOps,Hard,0.588,1
LRN00061,Casual Learner,8,5,58.69,9,10.85,13.33,2,3,Declining,Machine Learning,Hard,0.226,0
LRN00062,Casual Learner,17,8,54.33,9,7.43,28.33,5,5,Stable,Machine Learning,Easy,0.362,0
LRN00063,Casual Learner,18,11,59.87,9,8.46,30.0,1,4,Improving,Generative AI,Hard,0.414,0
LRN00064,Casual Learner,24,14,55.77,1,11.64,40.0,1,5,Improving,SQL,Medium,0.455,0
LRN00065,Consistent Learner,42,25,80.89,19,18.91,70.0,5,6,Stable,Python,Medium,0.63,1
LRN00066,Casual Learner,25,17,54.04,3,8.31,41.67,3,0,Declining,SQL,Easy,0.29,0
LRN00067,Consistent Learner,43,29,92.59,19,22.36,71.67,12,4,Improving,Machine Learning,Medium,0.795,1
LRN00068,Fast Learner,36,18,98.0,25,33.12,60.0,17,9,Improving,Generative AI,Medium,0.85,1
LRN00069,Casual Learner,13,9,55.74,2,8.19,21.67,3,4,Improving,Generative AI,Medium,0.414,1
LRN00070,Struggling Learner,15,12,31.85,2,3.44,25.0,2,0,Declining,Machine Learning,Medium,0.135,0
LRN00071,Casual Learner,6,3,54.17,5,7.09,10.0,2,2,Declining,Python,Medium,0.226,0
LRN00072,Consistent Learner,26,20,92.2,25,17.78,43.33,15,10,Improving,Machine Learning,Medium,0.745,1
LRN00073,Fast Learner,55,34,98.0,22,28.35,91.67,19,7,Improving,SQL,Hard,0.855,1
LRN00074,Consistent Learner,23,16,84.31,14,19.72,38.33,12,7,Stable,NLP,Easy,0.589,1
LRN00075,Consistent Learner,39,31,81.58,14,17.62,65.0,6,7,Improving,Generative AI,Easy,0.688,1
LRN00076,Casual Learner,23,15,57.87,10,8.22,38.33,3,1,Stable,Generative AI,Medium,0.399,1
LRN00077,Struggling Learner,7,4,35.73,1,5.0,11.67,3,0,Declining,NLP,Medium,0.131,0
LRN00078,Casual Learner,9,7,45.41,0,7.46,15.0,1,4,Improving,NLP,Easy,0.342,0
LRN00079,Fast Learner,39,31,98.0,19,24.97,65.0,9,12,Improving,NLP,Medium,0.807,1
LRN00080,Struggling Learner,12,8,40.57,5,7.68,20.0,3,0,Declining,Machine Learning,Hard,0.139,0
LRN00081,Consistent Learner,23,17,92.34,13,21.41,38.33,12,5,Improving,Python,Easy,0.708,1
LRN00082,Fast Learner,51,27,98.0,20,25.0,85.0,10,7,Improving,SQL,Medium,0.853,1
LRN00083,Consistent Learner,40,34,83.27,18,13.81,66.67,15,3,Improving,Generative AI,Easy,0.72,1
LRN00084,Consistent Learner,38,31,80.22,23,14.49,63.33,9,10,Improving,NLP,Easy,0.7,1
LRN00085,Consistent Learner,29,17,92.69,19,24.89,48.33,5,9,Improving,MLOps,Hard,0.69,1
LRN00086,Casual Learner,14,8,52.87,3,9.98,23.33,4,2,Improving,MLOps,Medium,0.416,0
LRN00087,Fast Learner,38,19,98.0,16,33.36,63.33,12,12,Improving,Machine Learning,Medium,0.82,1
LRN00088,Consistent Learner,45,38,93.94,21,18.09,75.0,13,11,Improving,NLP,Hard,0.752,1
LRN00089,Struggling Learner,3,2,34.56,0,4.28,5.0,1,1,Declining,Generative AI,Medium,0.102,0
LRN00090,Fast Learner,52,31,98.0,26,20.1,86.67,18,15,Improving,Machine Learning,Easy,0.876,1
LRN00091,Fast Learner,52,39,98.0,22,23.58,86.67,18,6,Stable,MLOps,Medium,0.797,1
LRN00092,Struggling Learner,9,7,33.31,0,7.97,15.0,0,1,Declining,MLOps,Hard,0.076,0
LRN00093,Consistent Learner,38,31,88.96,14,21.13,63.33,11,4,Stable,Machine Learning,Easy,0.662,1
LRN00094,Consistent Learner,27,19,97.93,13,22.83,45.0,15,8,Improving,NLP,Easy,0.759,1
